Pardon Bowen,Massachusetts Medical Society,Member
Mason F. Cogswell,Massachusetts Medical Society,Member
Astley Cooper,Massachusetts Medical Society,Member
Ammi R. Cutter,Massachusetts Medical Society,Member
Manassah Cutler,Massachusetts Medical Society,Member
Andrew Duncan,Massachusetts Medical Society,Member
John R. Farre,Massachusetts Medical Society,Member
John Feron,Massachusetts Medical Society,Member
Peter Green,Massachusetts Medical Society,Member
Lemuel Hopkins,Massachusetts Medical Society,Member
David Hosack,Massachusetts Medical Society,Member
George Jones,Massachusetts Medical Society,Member
John Jones,Massachusetts Medical Society,Member
Adam Kuhn,Massachusetts Medical Society,Member
Lemuel Kollock,Massachusetts Medical Society,Member
John C. Lettsom,Massachusetts Medical Society,Member
Charles McKnight,Massachusetts Medical Society,Member
Edward Miller,Massachusetts Medical Society,Member
John Morgan,Massachusetts Medical Society,Member
John Osborne,Massachusetts Medical Society,Member
Benjamin Rush,Massachusetts Medical Society,Member
William Shippen,Massachusetts Medical Society,Member
Isaac Center,Massachusetts Medical Society,Member
Nathan Smith,Massachusetts Medical Society,Member
Samuel Tenney,Massachusetts Medical Society,Member
Benjamin Vaughan,Massachusetts Medical Society,Member
Elias Willard,Massachusetts Medical Society,Member
Caspar Wistar,Massachusetts Medical Society,Member
Edward Wyer,Massachusetts Medical Society,Member
James Wylie,Massachusetts Medical Society,Member
Henry Wells,Massachusetts Medical Society,Member
"Elisha Whitney,",Massachusetts Medical Society,Member
William S. Williams,Massachusetts Medical Society,Member
Thomas Williams,Massachusetts Medical Society,Member
Tapley Wyeth,Massachusetts Medical Society,Member
Joseph Whipple,Massachusetts Medical Society,Member
William Whiting,Massachusetts Medical Society,Member
Benjamin Waterhouse,Massachusetts Medical Society,Member
Charles W. Winship,Massachusetts Medical Society,Member
Sylvester Woodbridge,Massachusetts Medical Society,Member
Elias Weld,Massachusetts Medical Society,Member
Timothy Wellington,Massachusetts Medical Society,Member
Silas Wheelock,Massachusetts Medical Society,Member
Isaac Warren,Massachusetts Medical Society,Member
Charles Worthington,Massachusetts Medical Society,Member
John Williams,Massachusetts Medical Society,Member
Samuel Weed,Massachusetts Medical Society,Member
Noah Whitman Jr.,Massachusetts Medical Society,Member
Jonathan Wild Jr.,Massachusetts Medical Society,Member
Daniel Wardwell,Massachusetts Medical Society,Member
Eli Wing,Massachusetts Medical Society,Member
William J. Walker,Massachusetts Medical Society,Member
Peter Whitney,Massachusetts Medical Society,Member
Joseph Warren,Massachusetts Medical Society,Member
George Willard,Massachusetts Medical Society,Member
John W. Webster,Massachusetts Medical Society,Member
Orrin Wright,Massachusetts Medical Society,Member
Jonathan Wales Jr.,Massachusetts Medical Society,Member
Leonard Williams,Massachusetts Medical Society,Member
William C. Whittredge,Massachusetts Medical Society,Member
Seth Washburn,Massachusetts Medical Society,Member
Asa G. Welch,Massachusetts Medical Society,Member
George Wilkins,Massachusetts Medical Society,Member
James M. Whittemore,Massachusetts Medical Society,Member
Abel Wilder,Massachusetts Medical Society,Member
John D. Wells,Massachusetts Medical Society,Member
Samuel Young,Massachusetts Medical Society,Member
Solmon D. Townsend,Massachusetts Medical Society,Member
David Townsend,Massachusetts Medical Society,Member
Thomas Thaxter,Massachusetts Medical Society,Member
Phillip Theobold,Massachusetts Medical Society,Member
James Thacher,Massachusetts Medical Society,Member
Joseph Torrey,Massachusetts Medical Society,Member
William Towner,Massachusetts Medical Society,Member
Simon Tufts,Massachusetts Medical Society,Member
Gridley Thaxter,Massachusetts Medical Society,Member
Joshua Thomas,Massachusetts Medical Society,Member
Grosvenor Tarbell,Massachusetts Medical Society,Member
Phillip E. Theobold,Massachusetts Medical Society,Member
Calvin Tilden,Massachusetts Medical Society,Member
Enoch S. Tappan,Massachusetts Medical Society,Member
Charles Trafton,Massachusetts Medical Society,Member
Piatt B. Tyler,Massachusetts Medical Society,Member
Jacob Tewksbury,Massachusetts Medical Society,Member
Ezekiel Thaxter,Massachusetts Medical Society,Member
Stephen Thayer,Massachusetts Medical Society,Member
Samuel Titus,Massachusetts Medical Society,Member
Alexander Thayer,Massachusetts Medical Society,Member
Arad Thompson,Massachusetts Medical Society,Member
"Amos Taylor,",Massachusetts Medical Society,Member
Francis Vergnies,Massachusetts Medical Society,Member
John Vanhorn,Massachusetts Medical Society,Member
John Warren,Massachusetts Medical Society,Member
John C. Warren,Massachusetts Medical Society,Member
Rufus Wyman,Massachusetts Medical Society,Member
John Walton,Massachusetts Medical Society,Member
John Ware,Massachusetts Medical Society,Member
Robert Worthington,Massachusetts Medical Society,Member
Charles W. Wilder,Massachusetts Medical Society,Member
Thomas Welsh,Massachusetts Medical Society,Member
Stephen W. Williams,Massachusetts Medical Society,Member
Israel Whiton,Massachusetts Medical Society,Member
George Ware,Massachusetts Medical Society,Member
Richard Wells,Massachusetts Medical Society,Member
Daniel Stone,Massachusetts Medical Society,Member
Nathaniel Swift,Massachusetts Medical Society,Member
Richard C. Shannon,Massachusetts Medical Society,Member
Luther Stearns,Massachusetts Medical Society,Member
"Nathaniel Smith, Jr.",Massachusetts Medical Society,Member
Joseph Sampson,Massachusetts Medical Society,Member
Moses Sweet,Massachusetts Medical Society,Member
James H. Sargent,Massachusetts Medical Society,Member
John Starkweather,Massachusetts Medical Society,Member
Joseph L. Stevens,Massachusetts Medical Society,Member
Richard S. Spofford,Massachusetts Medical Society,Member
Caleb H. Stickney,Massachusetts Medical Society,Member
Thomas Sears,Massachusetts Medical Society,Member
Stillman Spaulding,Massachusetts Medical Society,Member
Thaddeus Spaulding,Massachusetts Medical Society,Member
Thomas Sturtevant,Massachusetts Medical Society,Member
Paul Spooner,Massachusetts Medical Society,Member
Woodbridge Strong,Massachusetts Medical Society,Member
Samuel A. Shurtleff,Massachusetts Medical Society,Member
William Sweetser,Massachusetts Medical Society,Member
John M. Smith,Massachusetts Medical Society,Member
Caleb H. Snow,Massachusetts Medical Society,Member
Jonathan Stone,Massachusetts Medical Society,Member
Renjamin Seabury,Massachusetts Medical Society,Member
John P. Spooner,Massachusetts Medical Society,Member
Jerome V. C. Smith,Massachusetts Medical Society,Member
Robert B. Severance,Massachusetts Medical Society,Member
Lyndon A. Smith,Massachusetts Medical Society,Member
Asa Story,Massachusetts Medical Society,Member
Joseph Shed,Massachusetts Medical Society,Member
Stephen H. Shelding,Massachusetts Medical Society,Member
Cotton Tufts,Massachusetts Medical Society,Member
John D. Treadwell,Massachusetts Medical Society,Member
Calvin Thomas,Massachusetts Medical Society,Member
Robert Thaxter,Massachusetts Medical Society,Member
Daniel Thurber,Massachusetts Medical Society,Member
William H. Tyler,Massachusetts Medical Society,Member
Abraham R. Thompson,Massachusetts Medical Society,Member
William Spooner,Massachusetts Medical Society,Member
George C. Shattuck,Massachusetts Medical Society,Member
Alpheus F. Stone,Massachusetts Medical Society,Member
John Stone,Massachusetts Medical Society,Member
Benjamin Shurtleff,Massachusetts Medical Society,Member
Jeremiah Spofford,Massachusetts Medical Society,Member
Jeremy Stimpson,Massachusetts Medical Society,Member
William Stone,Massachusetts Medical Society,Member
William Sheldon,Massachusetts Medical Society,Member
John Stockbridge,Massachusetts Medical Society,Member
Enos Smith,Massachusetts Medical Society,Member
Peter Snow,Massachusetts Medical Society,Member
Daniel Shute,Massachusetts Medical Society,Member
Micajah Sawyer,Massachusetts Medical Society,Member
Jonathan Sibley,Massachusetts Medical Society,Member
Nathaniel Saltonstall,Massachusetts Medical Society,Member
Samuel Savage,Massachusetts Medical Society,Member
Remembrance Sheldon,Massachusetts Medical Society,Member
Amos Spofford,Massachusetts Medical Society,Member
Ezra Starkweather,Massachusetts Medical Society,Member
Foster Swift,Massachusetts Medical Society,Member
John B. Swett,Massachusetts Medical Society,Member
John Sprague,Massachusetts Medical Society,Member
Charles Stockbridge,Massachusetts Medical Society,Member
"John Swett,",Massachusetts Medical Society,Member
"Elisha Story,",Massachusetts Medical Society,Member
Erastus Sargeant,Massachusetts Medical Society,Member
Marshall Spring,Massachusetts Medical Society,Member
Moses D. Spofford,Massachusetts Medical Society,Member
Ebenezer Starr,Massachusetts Medical Society,Member
John Scammel,Massachusetts Medical Society,Member
Issachar Snell,Massachusetts Medical Society,Member
Jonathan Shearer,Massachusetts Medical Society,Member
Lawrence Sprague,Massachusetts Medical Society,Member
Jeremy Stimpson,Massachusetts Medical Society,Member
Thomas Sewall,Massachusetts Medical Society,Member
Daniel Swan,Massachusetts Medical Society,Member
Ephraim Stone,Massachusetts Medical Society,Member
Daniel Porter,Massachusetts Medical Society,Member
Abner Phelps,Massachusetts Medical Society,Member
William Parkhurst,Massachusetts Medical Society,Member
Benjamin Pond Jr.,Massachusetts Medical Society,Member
George Parkman,Massachusetts Medical Society,Member
Josiah Prescott,Massachusetts Medical Society,Member
Gustavus D. Peck,Massachusetts Medical Society,Member
Fredrick A. Parker,Massachusetts Medical Society,Member
John Pond,Massachusetts Medical Society,Member
Sylvanus Plympton,Massachusetts Medical Society,Member
Silas Pearson,Massachusetts Medical Society,Member
Nathaniel Pierce,Massachusetts Medical Society,Member
Moses Phelps,Massachusetts Medical Society,Member
Thomas Phipps,Massachusetts Medical Society,Member
Nathan Perry,Massachusetts Medical Society,Member
Thomas W. Parsons,Massachusetts Medical Society,Member
Sturgis Phinney,Massachusetts Medical Society,Member
Augustus T. Parker,Massachusetts Medical Society,Member
Sylvanus Plympton,Massachusetts Medical Society,Member
Isaac Rand,Massachusetts Medical Society,Member
John Randall,Massachusetts Medical Society,Member
Benjamin Rogers,Massachusetts Medical Society,Member
Alexander Read,Massachusetts Medical Society,Member
"Isaac Rand,",Massachusetts Medical Society,Member
Abijah Richardson,Massachusetts Medical Society,Member
Thomas Rice,Massachusetts Medical Society,Member
Isaac Rand Jr.,Massachusetts Medical Society,Member
Tilley Rice,Massachusetts Medical Society,Member
Daniel Rose,Massachusetts Medical Society,Member
Peter G. Robbins,Massachusetts Medical Society,Member
John Revere,Massachusetts Medical Society,Member
Dean Robinson,Massachusetts Medical Society,Member
Thomas Richmond,Massachusetts Medical Society,Member
Edward Reynolds Jr.,Massachusetts Medical Society,Member
Chandler Robbins Jr.,Massachusetts Medical Society,Member
George Russell,Massachusetts Medical Society,Member
George Osgood,Massachusetts Medical Society,Member
George Osgood Jr.,Massachusetts Medical Society,Member
Joseph O. Osgood,Massachusetts Medical Society,Member
Daniel Oliver,Massachusetts Medical Society,Member
David Osgood,Massachusetts Medical Society,Member
Benjamin Osgood,Massachusetts Medical Society,Member
Oliver Prescott,Massachusetts Medical Society,Member
Amos Parker,Massachusetts Medical Society,Member
Abel L. Peirson,Massachusetts Medical Society,Member
Thomas I. Parker,Massachusetts Medical Society,Member
Thomas Pickman,Massachusetts Medical Society,Member
William Paine,Massachusetts Medical Society,Member
James Pecker,Massachusetts Medical Society,Member
Oliver Prescott,Massachusetts Medical Society,Member
Oliver Partridge,Massachusetts Medical Society,Member
Daniel Pierce,Massachusetts Medical Society,Member
Charles Pyncheon,Massachusetts Medical Society,Member
William Porter,Massachusetts Medical Society,Member
Samuel Perry,Massachusetts Medical Society,Member
Abiel Pearson,Massachusetts Medical Society,Member
Martin Phelps,Massachusetts Medical Society,Member
Cyrus Perkins,Massachusetts Medical Society,Member
Benjamin Page Jr.,Massachusetts Medical Society,Member
James Parker,Massachusetts Medical Society,Member
Amariah Preston,Massachusetts Medical Society,Member
Samuel Prentis,Massachusetts Medical Society,Member
Benjamin Parker,Massachusetts Medical Society,Member
Nathaniel Peabody,Massachusetts Medical Society,Member
Ebenezer Poor,Massachusetts Medical Society,Member
Jonathan Page,Massachusetts Medical Society,Member
Charles Proctor,Massachusetts Medical Society,Member
William Payson,Massachusetts Medical Society,Member
Edmund C. Peet,Massachusetts Medical Society,Member
Freeman Perry,Massachusetts Medical Society,Member
Nathaniel S. Prentiss,Massachusetts Medical Society,Member
Nathaniel Preston,Massachusetts Medical Society,Member
Alfred Perry,Massachusetts Medical Society,Member
Ariel Mann,Massachusetts Medical Society,Member
John Merrill,Massachusetts Medical Society,Member
